H,O0601,066,953521,"Aug 14 2025 01:06 PM ",08/15/2025,N,," ",02159827,02159827,2028.83,48,DELIVERED
F,SUPC,"Case Qty","Split Qty","Cust #",Pack/Size,Brand,Description,"Mfr #","Per Lb","Case $","Each $"
P,1073402,1,0,,1/15LB,"SYS REL","Bacon Layflat 18-22 Per # Smoked",,N,71.48,
P,0566838,1,0,,"4/10#AVG",FIRECLS,"Beef Ground Fine 81% Lean Bulk Chubs",,Y,4.600,
P,4811568,1,0,,"10/24 OZ",BKRSCLS,"Bread Sourdough San Francisco Sliced",,N,37.96,
P,3473562,2,0,,"2/5 LB",IMPFRSH,"Brussel Sprout Halved",,N,31.61,
P,7223066,2,0,,"6/12 CT",BKRSCLS,"Bun Brioche Slice 4.5 Inch",,N,31.08,
P,2241347,0,3,,"9/.5 GAL",WHLFCLS,"Buttermilk 1% Low Fat",,N,MARKET,3.22
P,1750041,2,0,,"2/3 LB",IMPFRSH,"Cauliflower Floret Mini Cut",,N,21.40,
P,2819458,1,0,,4/5LB,CASAIMP,"Cheese Cheddar Jack Feather Shredded",,N,51.07,
P,7116863,3,0,,"4/5 LB",CASACLS,"Cheese Queso Hatch",,N,57.59,
P,2436210,1,0,,"4/5 LB","SYS CLS","Chicken Cvp Breast 6 Ounce Halal",,N,108.38,
P,6344790,1,0,,"4/10 LB","SYS CLS","Chicken Cvp Wings 1st And 2nd Joints Jumbo",,N,95.75,
P,7008859,1,0,,"5/5 LB",YOUNGUN,"Chile Green Hatch Diced Extra Hot",,N,33.89,
P,0651828,1,0,,6/12.9OZ,AREZIMP,"Glaze Balsamic Vinegar Of Modena",,N,17.69,MARKET
P,4220580,1,0,,1/500CT,KEYSTON,"Label Roll Shelf Life Dissolvable 2"" X 3""",,N,19.98,
P,2252062,1,0,,"1/200 CT",IMPFRSH,"Lemon Fancy Fresh",,N,49.36,
P,4966123,1,0,,"2/5 LB",IMPFRSH,"Lettuce Leaf Ultimate Burger",,N,29.35,
P,7759566,1,0,,"4/3 LB",IMPFRSH,"Lettuce Spring Mix",,N,30.26,
P,2737920,1,0,,2/1000CT,HOFMSTR,"Liner Paper Basket 12 Inch X 12 Inch Black Check",,N,88.89,
P,4002432,1,0,,4/1GAL,"SYS REL","Mayonnaise Heavy Duty",,N,47.61,MARKET
P,3718533,1,0,,200/7/16OZ,KRAFT,"Mayonnaise Real Packet",,N,21.92,
P,4700417,1,0,,"12/8 OZ",HSRCCLS,"Mustard Squeeze Bottle",,N,15.07,
P,1288192,1,0,,4/250CT,"SYS CLS","Napkin Beverage 9.5 Inch X 9.5 Inch 2-ply Blac",,N,34.34,
P,7156710,1,0,,24/126CT,"SYS CLS","Napkin Dinner 16 X 15 Inches 2-ply White 1/8 F",,N,61.41,
P,1094663,1,0,,1/25LB,IMPFRSH,"Onion Red Jumbo Bag",,N,18.45,
P,7077653,1,0,,1/15LB,PORTCLS,"Pangasius Filet Iqf 7-9 Ounce",,N,36.57,
P,1350271,1,0,,"1/32-38#",PROPACK,"Pepper Jalapeno Fresh",,N,31.45,
P,7063259,1,0,,"1/5 GAL",BBRLCLS,"Pickle Chip Dill Kosher Refrigerated Crinkle Cut 5/16""",,N,34.74,
P,9808262,5,0,,6/5LB,LAMB,"Potato Fry 3/8 Colossal Crisp",,N,36.03,
P,5416193,0,1,,3/7.5LB,"OLD BAY","Seasoning Seafood",,N,,44.55
P,4518403,2,0,,1/35LB,"SYS REL","Shortening Fry Liquid Clear Zero Trans Fat",,N,35.97,
P,5106388,1,0,,"4/2.5 LB",PORTCLS,"Shrimp White Peeled And Deveined  Tail-off 16/20 Count",,N,74.82,
P,8908832,1,0,,1/2.5GAL,MINMAID,"Syrup Lemonade Bag-in-box",,N,60.26,
P,1008663,1,0,,"1/60 CT",IMPFRSH,"Tomato 2 Layer 5x6 Fresh",,N,35.56,
P,4948679,1,0,,"6/60 CT",MISSION,"Tortilla Corn Yellow 5.5",,N,28.15,
P,5258991,1,0,,"1/30 LB",CASACLS,"Tortilla Yellow Corn Precut",,N,45.91,
P,5286055,1,0,,"16/250 CT",TORKUNV,"Towel Multifold Natural 9.5 Inch X 9.125 Inch",,N,21.83,
