H,O0601,066,942863,"Jul 31 2025 02:41 PM ",08/01/2025,N,," ",02144349,02144349,3410.87,68,DELIVERED
F,SUPC,"Case Qty","Split Qty","Cust #",Pack/Size,Brand,Description,"Mfr #","Per Lb","Case $","Each $"
P,7524051,1,0,,4/1GAL,FRANKRH,"Sauce Pepper Cayenne Red Hot",,N,52.17,MARKET
P,7221968,1,0,,1/5LB,"SYS CLS","Pumpkin Seed Pepitas Raw",,N,42.46,
P,6822561,1,0,,18/3.2OZ,HVR,"Dressing Mix Ranch Original",,N,34.29,
P,4361432,0,1,,"6/5 LB","SYS CLS","Honey Pure Clover Grade A True Source Certifie",,N,MARKET,22.14
P,6638738,2,0,,16/20OZ,HSRCIMP,"Ketchup Squeeze Red Upside Down",,N,27.80,
P,7216980,0,1,,"4/1 GAL",UNDERWD,"Sauce Special Sambal",,N,MARKET,27.22
P,8496069,1,0,,1/10LB,PORTSIM,"Salmon Atlantic Portioned Skinless 4 Oz Norwegian",,N,124.83,
P,2130060,1,0,,1/3GAL,WHLFCLS,"Ice Cream Vanilla",,N,23.97,
P,9808262,5,0,,6/5LB,LAMB,"Potato Fry 3/8 Colossal Crisp",,N,36.03,
P,7006520,1,0,,"5/5 LB",YOUNGUN,"Sauce Chile Red Sun Dried Hot",,N,36.46,
P,6094052,1,0,,"4/52 OZ",DIANNES,"Brownie Fudge Chocolate",,N,72.00,
P,1423726,1,0,,2/45CT,ERTHPLS,"Container Paper #4 Takeout Kraft",,N,39.59,
P,8018838,1,0,,240/16OZ,DELITNR,"Container Plastic Deli Translucent With Lid",,N,30.06,
P,4220580,1,0,,1/500CT,KEYSTON,"Label Roll Shelf Life Dissolvable 2"" X 3""",,N,19.98,
P,4948679,1,0,,"6/60 CT",MISSION,"Tortilla Corn Yellow 5.5",,N,28.15,
P,5258991,1,0,,"1/30 LB",CASACLS,"Tortilla Yellow Corn Precut",,N,45.91,
P,7759566,1,0,,"4/3 LB",IMPFRSH,"Lettuce Spring Mix",,N,30.28,
P,1091168,1,0,,"1/24 CT",IMPFRSH,"Lettuce Romaine Artisan",,N,24.22,
P,0187668,1,0,,"96/3.5 OZ","LA BREA","Bread Roll Sandwich Telera Sliced",,N,49.86,
P,2195982,2,0,,"4/17 CT",EUROBKE,"Bun Brioche Gourmet 4.5 Inch Sliced",,N,42.34,
P,3031442,1,0,,36/1LB,WHLFIMP,"Butter Solid Unsalted Usda Aa",,N,119.18,
P,4828802,1,0,,12/32OZ,WHLFCLS,"Cream Heavy Whipping 36% Extended Shelf Life",,N,64.69,MARKET
P,5429766,0,1,,4/4.4LB,"SYS IMP","Olive Kalamata Pitted Plastic Keg",,N,MARKET,29.20
P,1142381,1,0,,"6/1 LB",BBRLIMP,"Cheese Goat Crumble Tray Pack",,N,47.60,
P,0671677,1,0,,"2/5 LB","SYS IMP","Cheese Blue Crumbles",,N,35.67,MARKET
P,7116863,2,0,,"4/5 LB",CASACLS,"Cheese Queso Hatch",,N,57.59,
P,1675701,1,0,,"4/5 LB",IMPFRSH,"Cabbage Green Shredded Fresh In Bag",,N,19.63,MARKET
P,4614830,1,0,,"1/24 CT",PROPACK,"Cucumbers Fresh",,N,18.85,
P,1821537,0,1,,4/5LB,IMPFRSH,"Garlic Peeled Fresh",,N,MARKET,29.07
P,1094663,1,0,,1/25LB,IMPFRSH,"Onion Red Jumbo Bag",,N,18.95,
P,7350788,0,1,,"4/2 LB",IMPFRSH,"Onion Green Iceless",,N,MARKET,6.22
P,1008663,2,0,,"1/60 CT",IMPFRSH,"Tomato 2 Layer 5x6 Fresh",,N,30.48,
P,4966935,1,0,,"3/2 LB",IMPFRSH,"Broccoli Fresh Sweet Baby",,N,24.62,
P,3758653,1,0,,"1/10 LB",IMPFRSH,"Mushroom Crimini Unsized Fresh",,N,27.00,
P,3473562,2,0,,"2/5 LB",IMPFRSH,"Brussel Sprout Halved",,N,31.61,
P,1750041,2,0,,"2/3 LB",IMPFRSH,"Cauliflower Floret Mini Cut",,N,21.40,
P,7197570,0,2,,"5/6 CT",IMPFRSH,"Celery Fresh",,N,MARKET,7.65
P,7085140,1,0,,6/2.5LB,"SYS IMP","Corn Yellow Roasted Blend",,N,33.28,
P,3352600,1,0,,"4/5#AVG",BHB/NPM,"Beef Diced For Carne Asada Frozen",,Y,8.160,
P,0566838,2,0,,"4/10#AVG",FIRECLS,"Beef Ground Fine 81% Lean Bulk Chubs",,Y,4.930,
P,2436210,2,0,,"4/5 LB","SYS CLS","Chicken Cvp Breast 6 Ounce Halal",,N,108.27,
P,6344790,1,0,,"4/10 LB","SYS CLS","Chicken Cvp Wings 1st And 2nd Joints Jumbo",,N,95.75,
P,7077653,3,0,,1/15LB,PORTCLS,"Pangasius Filet Iqf 7-9 Ounce",,N,36.57,
P,4002432,1,0,,4/1GAL,"SYS REL","Mayonnaise Heavy Duty",,N,47.61,MARKET
P,7219608,1,0,,"12/1.5 LT","VERDE J","Juice Lime Fresh",,N,107.44,
P,8112120,1,0,,"2/1 GAL",AREZCLS,"Dressing Balsamic Vinaigrette Garlic",,N,32.62,
P,2252062,1,0,,"1/200 CT",IMPFRSH,"Lemon Fancy Fresh",,N,49.44,
P,4273546,1,0,,1/5GAL,COCACOL,"Syrup Coke Diet 5:1 Yield Bag-in-box",,N,115.53,
P,4273553,1,0,,1/5GAL,"DR PEPR","Syrup Dr Pepper Bag-in-box",,N,114.63,
P,4090395,1,0,,1/5GAL,SPRITE,"Syrup Sprite 5:1 Yield Bag-in-box",,N,115.53,
P,7007175,2,0,,"12/12 OZ",ZUBFIZZ,"Soda Root Beer Bottle",,N,11.19,
P,7166386,1,0,,384/9ML,WHLFCLS,"Creamer Half And Half Portion Control Aseptic",,N,20.35,
